selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enabled,profile_image_url,
Wild Bill Wassmann,Fri Jan 17 19:55:45 +0000 2020,@DwayneMcguire3 @mike_Iaconelli @XStreamFisher @PShenep @WILLSDAD25 @exhiker2bass @bassfisher3k @UpstateAngler… https://t.co/SfJgYyl686,United States,Moorestown,4440,2357,16,44444,False,51088,False,http://pbs.twimg.com/profile_images/1204182815333666816/V2e2d6lb_normal.jpg,
Jada,Fri Jan 17 19:55:45 +0000 2020,LMFAOOO LOOK HOW HE PUSHED IT,United States,Houston,146,154,0,3143,False,14322,False,http://pbs.twimg.com/profile_images/1216268605291159552/9BknH05q_normal.jpg,
01100010011100100111101o,Fri Jan 17 19:55:45 +0000 2020,@Not_the_real_DV @CMillz7 depression. 💀,United States,California,50,183,0,380,False,1245,False,http://pbs.twimg.com/profile_images/1207888779333103616/QAQb-Ggs_normal.jpg,
Morgan Laughlin,Fri Jan 17 19:55:45 +0000 2020,@BettyMWhite Happy Birthday!,United States,Seattle,84,223,3,3245,False,8111,False,http://pbs.twimg.com/profile_images/1142183904192806912/SZIJ7B8d_normal.jpg,
‎خالد ‎,Fri Jan 17 19:55:45 +0000 2020,@mini_bubbly @pullmygoalies But being a white supremacist is celebrated in the us.,Canada,Edmonton,1273,763,29,557,False,61233,False,http://pbs.twimg.com/profile_images/1202322062385266690/tuT6qkoZ_normal.jpg,
JenunineLeighJen,Fri Jan 17 19:43:38 +0000 2020,@LucyAppa @davidmweissman Of course the announcement is on her birthday too. I mean because what is the dumpster i… https://t.co/ghY62YWlhk,United States,Algona,1442,2711,11,19635,False,57909,False,http://pbs.twimg.com/profile_images/1556490184/161105_1162638439_6346999_n_normal.jpg,
Pike Place Market,Fri Jan 17 19:43:38 +0000 2020,We're celebrating local love on Saturday February 29th (Leap Day)! Join us for Love in the Market -- a day filled… https://t.co/0i6Ir06Ocb,United States,Seattle,83602,2539,1381,5317,False,7204,False,http://pbs.twimg.com/profile_images/1145852740767113217/AkyqGMbt_normal.png,
TheAwesomePossum,Fri Jan 17 19:43:38 +0000 2020,@TJPayne3333 Weed wiping.,United States,Ohio,103,52,1,7885,False,3919,False,http://pbs.twimg.com/profile_images/1067813972710252544/evc6Ujuf_normal.jpg,
Zo Glo✨,Fri Jan 17 19:43:38 +0000 2020,I just realized the other day how tf did I forget to but supa Cent on my vision board! Adding now,United States,Chicago,3184,863,63,156984,False,261004,False,http://pbs.twimg.com/profile_images/1182361174416998400/4Efid_2n_normal.jpg,
kylie jo s.,Fri Jan 17 19:43:38 +0000 2020,my bf doesn’t buy me flowers but he does let me use his wall street journal account,United States,Montana,329,134,7,48947,False,7859,False,http://pbs.twimg.com/profile_images/1127423108938207232/DFskRU5x_normal.jpg,
Zaren Healey White,Fri Jan 17 19:43:40 +0000 2020,Thank you to each person interviewed for this article.,Canada,St. John's,2519,1393,0,6789,False,6999,False,http://pbs.twimg.com/profile_images/1176643181523427328/qTCp6Yq__normal.jpg,
Rick Findley,Fri Jan 17 19:43:40 +0000 2020,@malotto11 Yeah I would agree with that.,United States,Spokane,438,1993,2,19138,False,5707,False,http://pbs.twimg.com/profile_images/1160695808427089920/sR5XKK1U_normal.jpg,
DAD LUVR💄,Fri Jan 17 19:43:40 +0000 2020,@_JillianLayne Oh man,United States,Pennsylvania,355,127,3,44332,False,35139,False,http://pbs.twimg.com/profile_images/1218248008237752320/3Bcw2x5Z_normal.jpg,
MARIE SHERMAN,Fri Jan 17 19:43:40 +0000 2020,@dropdeadlewis $65 shipping!?!?!? ABORT MISSION,United States,Seattle,391,323,1,2926,False,2454,False,http://pbs.twimg.com/profile_images/1123723081518919680/9bq4WNVX_normal.jpg,
Aletha Scott,Fri Jan 17 19:43:41 +0000 2020,Check out what I just listed on Mercari. Tap the link to sign up and get $10 off. https://t.co/is7XSUiMtJ,United States,Pierre,282,1141,2,31,False,2318,False,http://pbs.twimg.com/profile_images/497839634416562176/KQt7GRdR_normal.jpeg,
29 Degrees🍂🧡,Fri Jan 17 19:43:06 +0000 2020,@rruudoo @raqszz @mikalmccoy1 I need a break 🥴,United States,Shreveport,439,553,0,15851,False,9161,False,http://pbs.twimg.com/profile_images/1195465434167824386/VbD2uSkc_normal.jpg,
JayR.♡,Fri Jan 17 19:43:06 +0000 2020,I’m getting drunk &amp; my lily is napping. This is a Good Friday ✨,United States,Arizona,694,395,0,15657,False,35501,False,http://pbs.twimg.com/profile_images/1218256907539890176/JF0J9HYR_normal.jpg,
Ginita,Fri Jan 17 19:43:07 +0000 2020,Texas isn’t ready 💪🏻🐅 https://t.co/Ysnnrnm2W4,United States,Florida,822,918,3,8266,False,6700,False,http://pbs.twimg.com/profile_images/1172582744955772930/JmMMZSsv_normal.jpg,
Jessie Anchondo,Fri Jan 17 19:43:07 +0000 2020,@JohnLPoppe @_smileemptysoul @SeanDanielsen Sounds like a plan,United States,Lakeland Heights,771,1194,4,5335,False,2929,False,http://pbs.twimg.com/profile_images/1210033687087263744/JMA6topN_normal.jpg,
David Berger 🏳️‍🌈,Fri Jan 17 19:43:07 +0000 2020,Hugs 🤗 and smooches 😘 - hope your day is going well! https://t.co/qtJnkhaow2,United States,Florida,3489,4362,109,42737,False,18658,False,http://pbs.twimg.com/profile_images/1211749817073971206/ARCLBL3u_normal.jpg,
ayymijackicita🇲🇽,Fri Jan 17 19:43:07 +0000 2020,NOBODY ABSOLUTELY NOBODY:My man:,United States,Ennis,591,594,0,12967,False,2004,False,http://pbs.twimg.com/profile_images/1178524796537262080/JHOd0hDc_normal.jpg,
jessica,Fri Jan 17 19:43:07 +0000 2020,My doctor appointment went well. All my numbers like cholesterol&amp;shit is good except my iron and vitamin D are real… https://t.co/xk84Q3gcDC,Mexico,General,94,186,4,5807,False,9039,False,http://pbs.twimg.com/profile_images/1194346920472387585/wmdIhSFr_normal.jpg,
Kristy Hymans,Fri Jan 17 19:43:07 +0000 2020,@The76KProject @FrugalPharm @TreadLightly_RE I have a ticket but might not be able to go FYI so if any of you want… https://t.co/xK0DqvfFzI,United States,Arizona,427,569,3,5326,False,1666,False,http://pbs.twimg.com/profile_images/1170343158313627650/C_5y_rY2_normal.jpg,
The Spirit Media Network,Fri Jan 17 19:43:08 +0000 2020,When they try to charge for you extra cheese on your cheese pizza.... https://t.co/OtKyvpZRGG,United States,Mississippi,9697,1600,42,14521,False,31140,False,http://pbs.twimg.com/profile_images/1214329009649209345/_SpDCIG0_normal.jpg,
Kody,Fri Jan 17 19:43:09 +0000 2020,Flu and strep why me.,United States,Gun Barrel City,877,1078,4,23581,False,16658,False,http://pbs.twimg.com/profile_images/1200105884082413569/e9IPPvgA_normal.jpg,
selected_name,created_at,text,country,location,followers,friends,listed_count,favourites_count,verified,statuses_count,contributors_enab
